Agency,Site,Date,Discharge,Letter
USGS,2358000,10/1/1950,9210,A
USGS,2358000,10/2/1950,9190,A
USGS,2358000,10/3/1950,8500,A
USGS,2358000,10/4/1950,8030,A
USGS,2358000,10/5/1950,8330,A
USGS,2358000,10/6/1950,8710,A
USGS,2358000,10/7/1950,8560,A
USGS,2358000,10/8/1950,8480,A
USGS,2358000,10/9/1950,8430,A
USGS,2358000,10/10/1950,8010,A
USGS,2358000,10/11/1950,7650,A
USGS,2358000,10/12/1950,7610,A
USGS,2358000,10/13/1950,7880,A
USGS,2358000,10/14/1950,7860,A
USGS,2358000,10/15/1950,7800,A
USGS,2358000,10/16/1950,7860,A
USGS,2358000,10/17/1950,7480,A
USGS,2358000,10/18/1950,7280,A
USGS,2358000,10/19/1950,7480,A
USGS,2358000,10/20/1950,7880,A
USGS,2358000,10/21/1950,8330,A
USGS,2358000,10/22/1950,8690,A
USGS,2358000,10/23/1950,10000,A
USGS,2358000,10/24/1950,11800,A
USGS,2358000,10/25/1950,12700,A
USGS,2358000,10/26/1950,13900,A
USGS,2358000,10/27/1950,12800,A
USGS,2358000,10/28/1950,10800,A
USGS,2358000,10/29/1950,9640,A
USGS,2358000,10/30/1950,9130,A
USGS,2358000,10/31/1950,8520,A
USGS,2358000,11/1/1950,8080,A
USGS,2358000,11/2/1950,8280,A
USGS,2358000,11/3/1950,8640,A
USGS,2358000,11/4/1950,8330,A
USGS,2358000,11/5/1950,8600,A
USGS,2358000,11/6/1950,8940,A
USGS,2358000,11/7/1950,8690,A
USGS,2358000,11/8/1950,8080,A
USGS,2358000,11/9/1950,7930,A
USGS,2358000,11/10/1950,8540,A
USGS,2358000,11/11/1950,8880,A
USGS,2358000,11/12/1950,9130,A
USGS,2358000,11/13/1950,9300,A
USGS,2358000,11/14/1950,8810,A
USGS,2358000,11/15/1950,8290,A
USGS,2358000,11/16/1950,8860,A
USGS,2358000,11/17/1950,9280,A
USGS,2358000,11/18/1950,9530,A
USGS,2358000,11/19/1950,9600,A
USGS,2358000,11/20/1950,9420,A
USGS,2358000,11/21/1950,8900,A
USGS,2358000,11/22/1950,8160,A
USGS,2358000,11/23/1950,8370,A
USGS,2358000,11/24/1950,9400,A
USGS,2358000,11/25/1950,9380,A
USGS,2358000,11/26/1950,9130,A
USGS,2358000,11/27/1950,8830,A
USGS,2358000,11/28/1950,9090,A
USGS,2358000,11/29/1950,8810,A
USGS,2358000,11/30/1950,8370,A
USGS,2358000,12/1/1950,8940,A
USGS,2358000,12/2/1950,9600,A
USGS,2358000,12/3/1950,9720,A
USGS,2358000,12/4/1950,9600,A
USGS,2358000,12/5/1950,9300,A
USGS,2358000,12/6/1950,8710,A
USGS,2358000,12/7/1950,8900,A
USGS,2358000,12/8/1950,10500,A
USGS,2358000,12/9/1950,11500,A
USGS,2358000,12/10/1950,11500,A
USGS,2358000,12/11/1950,11500,A
USGS,2358000,12/12/1950,11900,A
USGS,2358000,12/13/1950,11900,A
USGS,2358000,12/14/1950,11900,A
USGS,2358000,12/15/1950,12100,A
USGS,2358000,12/16/1950,13600,A
USGS,2358000,12/17/1950,15400,A
USGS,2358000,12/18/1950,15700,A
USGS,2358000,12/19/1950,14500,A
USGS,2358000,12/20/1950,13000,A
USGS,2358000,12/21/1950,12500,A
USGS,2358000,12/22/1950,12300,A
USGS,2358000,12/23/1950,12200,A
USGS,2358000,12/24/1950,12100,A
USGS,2358000,12/25/1950,12000,A
USGS,2358000,12/26/1950,11800,A
USGS,2358000,12/27/1950,11100,A
USGS,2358000,12/28/1950,10600,A
USGS,2358000,12/29/1950,11000,A
USGS,2358000,12/30/1950,12000,A
USGS,2358000,12/31/1950,16200,A
USGS,2358000,1/1/1951,18500,A
USGS,2358000,1/2/1951,17900,A
USGS,2358000,1/3/1951,17000,A
USGS,2358000,1/4/1951,17000,A
USGS,2358000,1/5/1951,17000,A
USGS,2358000,1/6/1951,16700,A
USGS,2358000,1/7/1951,16100,A
USGS,2358000,1/8/1951,16000,A
USGS,2358000,1/9/1951,15400,A
USGS,2358000,1/10/1951,14800,A
USGS,2358000,1/11/1951,14600,A
USGS,2358000,1/12/1951,14300,A
USGS,2358000,1/13/1951,14000,A
USGS,2358000,1/14/1951,13900,A
USGS,2358000,1/15/1951,13800,A
USGS,2358000,1/16/1951,13500,A
USGS,2358000,1/17/1951,13500,A
USGS,2358000,1/18/1951,14100,A
USGS,2358000,1/19/1951,13800,A
USGS,2358000,1/20/1951,13400,A
USGS,2358000,1/21/1951,13000,A
USGS,2358000,1/22/1951,13000,A
USGS,2358000,1/23/1951,12400,A
USGS,2358000,1/24/1951,11600,A
USGS,2358000,1/25/1951,11800,A
USGS,2358000,1/26/1951,12400,A
USGS,2358000,1/27/1951,12900,A
USGS,2358000,1/28/1951,13000,A
USGS,2358000,1/29/1951,12600,A
USGS,2358000,1/30/1951,12400,A
USGS,2358000,1/31/1951,12300,A
USGS,2358000,2/1/1951,12300,A
USGS,2358000,2/2/1951,12500,A
USGS,2358000,2/3/1951,13300,A
USGS,2358000,2/4/1951,13600,A
USGS,2358000,2/5/1951,13700,A
USGS,2358000,2/6/1951,13300,A
USGS,2358000,2/7/1951,13200,A
USGS,2358000,2/8/1951,13400,A
USGS,2358000,2/9/1951,13900,A
USGS,2358000,2/10/1951,14300,A
USGS,2358000,2/11/1951,14400,A
USGS,2358000,2/12/1951,14200,A
USGS,2358000,2/13/1951,13700,A
USGS,2358000,2/14/1951,13400,A
USGS,2358000,2/15/1951,13000,A
USGS,2358000,2/16/1951,12800,A
USGS,2358000,2/17/1951,12600,A
USGS,2358000,2/18/1951,12400,A
USGS,2358000,2/19/1951,12500,A
USGS,2358000,2/20/1951,12600,A
USGS,2358000,2/21/1951,12400,A
USGS,2358000,2/22/1951,12700,A
USGS,2358000,2/23/1951,12600,A
USGS,2358000,2/24/1951,12700,A
USGS,2358000,2/25/1951,13400,A
USGS,2358000,2/26/1951,13800,A
USGS,2358000,2/27/1951,13900,A
USGS,2358000,2/28/1951,13200,A
USGS,2358000,3/1/1951,13700,A
USGS,2358000,3/2/1951,13800,A
USGS,2358000,3/3/1951,13700,A
USGS,2358000,3/4/1951,13300,A
USGS,2358000,3/5/1951,13000,A
USGS,2358000,3/6/1951,13200,A
USGS,2358000,3/7/1951,13600,A
USGS,2358000,3/8/1951,14100,A
USGS,2358000,3/9/1951,14000,A
USGS,2358000,3/10/1951,13600,A
USGS,2358000,3/11/1951,13600,A
USGS,2358000,3/12/1951,14200,A
USGS,2358000,3/13/1951,14000,A
USGS,2358000,3/14/1951,13800,A
USGS,2358000,3/15/1951,14000,A
USGS,2358000,3/16/1951,14200,A
USGS,2358000,3/17/1951,14100,A
USGS,2358000,3/18/1951,14200,A
USGS,2358000,3/19/1951,15500,A
USGS,2358000,3/20/1951,19200,A
USGS,2358000,3/21/1951,21900,A
USGS,2358000,3/22/1951,21900,A
USGS,2358000,3/23/1951,20700,A
USGS,2358000,3/24/1951,19900,A
USGS,2358000,3/25/1951,19300,A
USGS,2358000,3/26/1951,19000,A
USGS,2358000,3/27/1951,18400,A
USGS,2358000,3/28/1951,17600,A
USGS,2358000,3/29/1951,17300,A
USGS,2358000,3/30/1951,20200,A
USGS,2358000,3/31/1951,25000,A
USGS,2358000,4/1/1951,26400,A
USGS,2358000,4/2/1951,28200,A
USGS,2358000,4/3/1951,27200,A
