# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://waterdata.usgs.gov/nwis/help/?provisional
#
# File-format description:  http://waterdata.usgs.gov/nwis/?tab_delimited_format_info
# Automated-retrieval info: http://waterdata.usgs.gov/nwis/?automated_retrieval_info
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2012-11-15 07:32:13 EST       (vaww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 02366500 CHOCTAWHATCHEE RIVER NR BRUCE, FLA.
# -----------------------------------------------------------------------------------
#
# Data provided for site 02366500
#    DD parameter statistic   Description
#    02   00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output: 
#     A  Approved for publication -- Processing and review completed.  
#     P  Provisional data subject to revision.  
#     e  Value has been estimated.  
# 
agency_cd	site_no	datetime	02_00060_00003	02_00060_00003_cd
5s	15s	20d	14n	10s
USGS	02366500	1931-01-01	7430	A
USGS	02366500	1931-01-02	7430	A
USGS	02366500	1931-01-03	7430	A
USGS	02366500	1931-01-04	7030	A
USGS	02366500	1931-01-05	6630	A
USGS	02366500	1931-01-06	6430	A
USGS	02366500	1931-01-07	6240	A
USGS	02366500	1931-01-08	6050	A
USGS	02366500	1931-01-09	6050	A
USGS	02366500	1931-01-10	6240	A
USGS	02366500	1931-01-11	6240	A
USGS	02366500	1931-01-12	6430	A
USGS	02366500	1931-01-13	6630	A
USGS	02366500	1931-01-14	6630	A
USGS	02366500	1931-01-15	6630	A
USGS	02366500	1931-01-16	6830	A
USGS	02366500	1931-01-17	7430	A
USGS	02366500	1931-01-18	9300	A
USGS	02366500	1931-01-19	10600	A
USGS	02366500	1931-01-20	11500	A
USGS	02366500	1931-01-21	11500	A
USGS	02366500	1931-01-22	11500	A
USGS	02366500	1931-01-23	11800	A
USGS	02366500	1931-01-24	12100	A
USGS	02366500	1931-01-25	11800	A
USGS	02366500	1931-01-26	10900	A
USGS	02366500	1931-01-27	9800	A
USGS	02366500	1931-01-28	9050	A
USGS	02366500	1931-01-29	8300	A
USGS	02366500	1931-01-30	7630	A
USGS	02366500	1931-01-31	7230	A
USGS	02366500	1931-02-01	6630	A
USGS	02366500	1931-02-02	6430	A
USGS	02366500	1931-02-03	6050	A
USGS	02366500	1931-02-04	5860	A
USGS	02366500	1931-02-05	5680	A
USGS	02366500	1931-02-06	5330	A
USGS	02366500	1931-02-07	5190	A
USGS	02366500	1931-02-08	5190	A
USGS	02366500	1931-02-09	5070	A
USGS	02366500	1931-02-10	5070	A
USGS	02366500	1931-02-11	5070	A
USGS	02366500	1931-02-12	4960	A
USGS	02366500	1931-02-13	5070	A
USGS	02366500	1931-02-14	5190	A
USGS	02366500	1931-02-15	5330	A
USGS	02366500	1931-02-16	5500	A
USGS	02366500	1931-02-17	5680	A
USGS	02366500	1931-02-18	6050	A
USGS	02366500	1931-02-19	6830	A
USGS	02366500	1931-02-20	7830	A
USGS	02366500	1931-02-21	8800	A
USGS	02366500	1931-02-22	9050	A
USGS	02366500	1931-02-23	9300	A
USGS	02366500	1931-02-24	9300	A
USGS	02366500	1931-02-25	8800	A
USGS	02366500	1931-02-26	8300	A
USGS	02366500	1931-02-27	7430	A
USGS	02366500	1931-02-28	7230	A
USGS	02366500	1931-03-01	7230	A
USGS	02366500	1931-03-02	7230	A
USGS	02366500	1931-03-03	7430	A
USGS	02366500	1931-03-04	7830	A
USGS	02366500	1931-03-05	8050	A
USGS	02366500	1931-03-06	8300	A
USGS	02366500	1931-03-07	8550	A
USGS	02366500	1931-03-08	8300	A
USGS	02366500	1931-03-09	8050	A
USGS	02366500	1931-03-10	7830	A
USGS	02366500	1931-03-11	7830	A
USGS	02366500	1931-03-12	8300	A
USGS	02366500	1931-03-13	8550	A
USGS	02366500	1931-03-14	8550	A
USGS	02366500	1931-03-15	8300	A
USGS	02366500	1931-03-16	7630	A
USGS	02366500	1931-03-17	7030	A
USGS	02366500	1931-03-18	6630	A
