# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://waterdata.usgs.gov/nwis/help/?provisional
#
# File-format description:  http://waterdata.usgs.gov/nwis/?tab_delimited_format_info
# Automated-retrieval info: http://waterdata.usgs.gov/nwis/?automated_retrieval_info
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2012-11-15 07:25:50 EST       (sdww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 02313700 WACCASASSA RIVER NR GULF HAMMOCK, FLA.
# -----------------------------------------------------------------------------------
#
# Data provided for site 02313700
#    DD parameter statistic   Description
#    03   00060     00003     Discharge, cubic feet per second (Mean), (Tallahassee)
#
# Data-value qualification codes included in this output: 
#     A  Approved for publication -- Processing and review completed.  
#     P  Provisional data subject to revision.  
#     e  Value has been estimated.  
# 
agency_cd	site_no	datetime	03_00060_00003	03_00060_00003_cd
5s	15s	20d	14n	10s
USGS	02313700	1964-05-01	1670	A
USGS	02313700	1964-05-02	1450	A
USGS	02313700	1964-05-03	1820	A
USGS	02313700	1964-05-04	1360	A
USGS	02313700	1964-05-05	1080	A
USGS	02313700	1964-05-06	829	A
USGS	02313700	1964-05-07	630	A
USGS	02313700	1964-05-08	515	A
USGS	02313700	1964-05-09	442	A
USGS	02313700	1964-05-10	363	A
USGS	02313700	1964-05-11	279	A
USGS	02313700	1964-05-12	224	A
USGS	02313700	1964-05-13	145	A
USGS	02313700	1964-05-14	240	A
USGS	02313700	1964-05-15	214	A
USGS	02313700	1964-05-16	234	A
USGS	02313700	1964-05-17	214	A
USGS	02313700	1964-05-18	184	A
USGS	02313700	1964-05-19	141	A
USGS	02313700	1964-05-20	147	A
USGS	02313700	1964-05-21	191	A
USGS	02313700	1964-05-22	160	A
USGS	02313700	1964-05-23	121	A
USGS	02313700	1964-05-24	86	A
USGS	02313700	1964-05-25	89	A
USGS	02313700	1964-05-26	96	A
USGS	02313700	1964-05-27	58	A
USGS	02313700	1964-05-28	52	A
USGS	02313700	1964-05-29	18	A
USGS	02313700	1964-05-30	64	A
USGS	02313700	1964-05-31	144	A
USGS	02313700	1964-06-01	74	A
USGS	02313700	1964-06-02	145	A
USGS	02313700	1964-06-03	108	A
USGS	02313700	1964-06-04	89	A
USGS	02313700	1964-06-05	49	A
USGS	02313700	1964-06-06	92	A
USGS	02313700	1964-06-07	101	A
USGS	02313700	1964-06-08	73	A
USGS	02313700	1964-06-09	58	A
USGS	02313700	1964-06-10	40	A
USGS	02313700	1964-06-11	29	A
USGS	02313700	1964-06-12	39	A
USGS	02313700	1964-06-13	67	A
USGS	02313700	1964-06-14	87	A
USGS	02313700	1964-06-15	64	A
USGS	02313700	1964-06-16	116	A
USGS	02313700	1964-06-17	100	A
USGS	02313700	1964-06-18	92	A
USGS	02313700	1964-06-19	144	A
