# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://waterdata.usgs.gov/fl/nwis/help/?provisional
#
# File-format description:  http://waterdata.usgs.gov/nwis/?tab_delimited_format_info
# Automated-retrieval info: http://waterdata.usgs.gov/nwis/?automated_retrieval_info
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2012-11-15 07:16:17 EST       (vaww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 02323500 SUWANNEE RIVER NEAR WILCOX, FLA.
# -----------------------------------------------------------------------------------
#
# Data provided for site 02323500
#    DD parameter statistic   Description
#    05   00055     00001     Stream velocity, feet per second (Maximum)
#    05   00055     00002     Stream velocity, feet per second (Minimum)
#    05   00055     00003     Stream velocity, feet per second (Mean)
#    06   00065     00003     Gage height, feet (Mean)
#    07   00060     00003     Discharge, cubic feet per second (Mean)
#    13   72020     00003     Elevation above NGVD 1929, feet (Mean)
#    15   00065     00003     Gage height, feet (Mean), [(2)]
#
# Data-value qualification codes included in this output: 
#     A  Approved for publication -- Processing and review completed.  
#     P  Provisional data subject to revision.  
#     e  Value has been estimated.  
# 
agency_cd	site_no	datetime	05_00055_00001	05_00055_00001_cd	05_00055_00002	05_00055_00002_cd	05_00055_00003	05_00055_00003_cd	06_00065_00003	06_00065_00003_cd	07_00060_00003	07_00060_00003_cd	13_72020_00003	13_72020_00003_cd	15_00065_00003	15_00065_00003_cd
5s	15s	20d	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s
USGS	02323500	1941-10-01									6100	A				
USGS	02323500	1941-10-02									6100	A				
USGS	02323500	1941-10-03									6100	A				
USGS	02323500	1941-10-04									6100	A				
USGS	02323500	1941-10-05									6100	A				
USGS	02323500	1941-10-06									6000	A				
USGS	02323500	1941-10-07									6000	A				
USGS	02323500	1941-10-08									6000	A				
USGS	02323500	1941-10-09									6000	A				
USGS	02323500	1941-10-10									6000	A				
USGS	02323500	1941-10-11									5600	A				
USGS	02323500	1941-10-12									5600	A				
USGS	02323500	1941-10-13									5600	A				
USGS	02323500	1941-10-14									5600	A				
USGS	02323500	1941-10-15									5600	A				
USGS	02323500	1941-10-16									5400	A				
USGS	02323500	1941-10-17									5400	A				
USGS	02323500	1941-10-18									5400	A				
USGS	02323500	1941-10-19									5400	A				
USGS	02323500	1941-10-20									5400	A				
USGS	02323500	1941-10-21									7500	A				
USGS	02323500	1941-10-22									7500	A				
USGS	02323500	1941-10-23									7500	A				
USGS	02323500	1941-10-24									7500	A				
USGS	02323500	1941-10-25									7500	A				
USGS	02323500	1941-10-26									9400	A				
USGS	02323500	1941-10-27									9400	A				
USGS	02323500	1941-10-28									9400	A				
USGS	02323500	1941-10-29									9400	A				
USGS	02323500	1941-10-30									9400	A				
USGS	02323500	1941-10-31									9400	A				
USGS	02323500	1941-11-01									8600	A				
USGS	02323500	1941-11-02									8600	A				
USGS	02323500	1941-11-03									8600	A				
USGS	02323500	1941-11-04									8600	A				
USGS	02323500	1941-11-05									8600	A				
USGS	02323500	1941-11-06									8400	A				
USGS	02323500	1941-11-07									8400	A				
USGS	02323500	1941-11-08									8400	A				
USGS	02323500	1941-11-09									8400	A				
USGS	02323500	1941-11-10									8400	A				
USGS	02323500	1941-11-11									8400	A				
USGS	02323500	1941-11-12									8400	A				
USGS	02323500	1941-11-13									8400	A				
USGS	02323500	1941-11-14									8400	A				
USGS	02323500	1941-11-15									8400	A				
USGS	02323500	1941-11-16									8200	A				
USGS	02323500	1941-11-17									8200	A				
USGS	02323500	1941-11-18									8200	A				
USGS	02323500	1941-11-19									8200	A				
USGS	02323500	1941-11-20									8200	A				
USGS	02323500	1941-11-21									7700	A				
USGS	02323500	1941-11-22									7700	A				
USGS	02323500	1941-11-23									7700	A				
USGS	02323500	1941-11-24									7700	A				
USGS	02323500	1941-11-25									7700	A				
USGS	02323500	1941-11-26									7200	A				
USGS	02323500	1941-11-27									7200	A				
USGS	02323500	1941-11-28									7200	A				
USGS	02323500	1941-11-29									7200	A				
USGS	02323500	1941-11-30									7200	A				
USGS	02323500	1941-12-01									6900	A				
USGS	02323500	1941-12-02									6900	A				
USGS	02323500	1941-12-03									6900	A				
USGS	02323500	1941-12-04									6900	A				
USGS	02323500	1941-12-05									6900	A				
USGS	02323500	1941-12-06									7200	A				
USGS	02323500	1941-12-07									7200	A				
USGS	02323500	1941-12-08									7200	A				
USGS	02323500	1941-12-09									7200	A				
USGS	02323500	1941-12-10									7200	A				
USGS	02323500	1941-12-11									7400	A				
USGS	02323500	1941-12-12									7400	A				
USGS	02323500	1941-12-13									7400	A				
USGS	02323500	1941-12-14									7400	A				
USGS	02323500	1941-12-15									7400	A				
USGS	02323500	1941-12-16									8000	A				
USGS	02323500	1941-12-17									8000	A				
USGS	02323500	1941-12-18									8000	A				
USGS	02323500	1941-12-19									8000	A				
USGS	02323500	1941-12-20									8000	A				
USGS	02323500	1941-12-21									8000	A				
USGS	02323500	1941-12-22									8000	A				
USGS	02323500	1941-12-23									8000	A				
USGS	02323500	1941-12-24									8000	A				
USGS	02323500	1941-12-25									8000	A				
USGS	02323500	1941-12-26									8500	A				
USGS	02323500	1941-12-27									8500	A				
USGS	02323500	1941-12-28									8500	A				
USGS	02323500	1941-12-29									8500	A				
USGS	02323500	1941-12-30									8500	A				
USGS	02323500	1941-12-31									8500	A				
USGS	02323500	1942-01-01									10600	A				
USGS	02323500	1942-01-02									10600	A				
USGS	02323500	1942-01-03									10600	A				
USGS	02323500	1942-01-04									10600	A				
USGS	02323500	1942-01-05									10600	A				
USGS	02323500	1942-01-06									14500	A				
USGS	02323500	1942-01-07									14500	A				
USGS	02323500	1942-01-08									14500	A				
USGS	02323500	1942-01-09									14500	A				
USGS	02323500	1942-01-10									14500	A				
USGS	02323500	1942-01-11									19000	A				
USGS	02323500	1942-01-12									19000	A				
USGS	02323500	1942-01-13									19000	A				
USGS	02323500	1942-01-14									19000	A				
USGS	02323500	1942-01-15									19000	A				
USGS	02323500	1942-01-16									21400	A				
USGS	02323500	1942-01-17									21400	A				
USGS	02323500	1942-01-18									21400	A				
USGS	02323500	1942-01-19									21400	A				
USGS	02323500	1942-01-20									21400	A				
USGS	02323500	1942-01-21									21000	A				
USGS	02323500	1942-01-22									21000	A				
USGS	02323500	1942-01-23									21000	A				
USGS	02323500	1942-01-24									21000	A				
USGS	02323500	1942-01-25									21000	A				
USGS	02323500	1942-01-26									20000	A				
USGS	02323500	1942-01-27									20000	A				
USGS	02323500	1942-01-28									20000	A				
USGS	02323500	1942-01-29									20000	A				
USGS	02323500	1942-01-30									20000	A				
USGS	02323500	1942-01-31									20000	A				
USGS	02323500	1942-02-01									18000	A				
USGS	02323500	1942-02-02									18000	A				
USGS	02323500	1942-02-03									18000	A				
USGS	02323500	1942-02-04									18000	A				
USGS	02323500	1942-02-05									18000	A				
USGS	02323500	1942-02-06									15500	A				
USGS	02323500	1942-02-07									15500	A				
USGS	02323500	1942-02-08									15500	A				
USGS	02323500	1942-02-09									15500	A				
USGS	02323500	1942-02-10									15500	A				
USGS	02323500	1942-02-11									14000	A				
USGS	02323500	1942-02-12									14000	A				
USGS	02323500	1942-02-13									14000	A				
USGS	02323500	1942-02-14									14000	A				
USGS	02323500	1942-02-15									14000	A				
USGS	02323500	1942-02-16									14500	A				
USGS	02323500	1942-02-17									14500	A				
USGS	02323500	1942-02-18									14500	A				
USGS	02323500	1942-02-19									14500	A				
USGS	02323500	1942-02-20									14500	A				
USGS	02323500	1942-02-21									17500	A				
USGS	02323500	1942-02-22									17500	A				
USGS	02323500	1942-02-23									17500	A				
USGS	02323500	1942-02-24									17500	A				
USGS	02323500	1942-02-25									17500	A				
USGS	02323500	1942-02-26									20000	A				
USGS	02323500	1942-02-27									20000	A				
USGS	02323500	1942-02-28									20000	A				
USGS	02323500	1942-03-01									22500	A				
USGS	02323500	1942-03-02									22500	A				
USGS	02323500	1942-03-03									22500	A				
USGS	02323500	1942-03-04									22500	A				
USGS	02323500	1942-03-05									22500	A				
USGS	02323500	1942-03-06									24300	A				
USGS	02323500	1942-03-07									24300	A				
USGS	02323500	1942-03-08									24300	A				
USGS	02323500	1942-03-09									24300	A				
USGS	02323500	1942-03-10									24300	A				
USGS	02323500	1942-03-11									26000	A				
USGS	02323500	1942-03-12									26000	A				
USGS	02323500	1942-03-13									26000	A				
USGS	02323500	1942-03-14									26000	A				
USGS	02323500	1942-03-15									26000	A				
USGS	02323500	1942-03-16									27000	A				
USGS	02323500	1942-03-17									27000	A				
USGS	02323500	1942-03-18									27000	A				
USGS	02323500	1942-03-19									27000	A				
USGS	02323500	1942-03-20									27000	A				
USGS	02323500	1942-03-21									27500	A				
USGS	02323500	1942-03-22									27500	A				
USGS	02323500	1942-03-23									27500	A				
USGS	02323500	1942-03-24									27500	A				
USGS	02323500	1942-03-25									27500	A				
USGS	02323500	1942-03-26							12.53	A	27600	A	12.00	A		
USGS	02323500	1942-03-27							12.76	A	28600	A	12.23	A		
USGS	02323500	1942-03-28							12.96	A	29200	A	12.43	A		
USGS	02323500	1942-03-29							12.96	A	29200	A	12.43	A		
USGS	02323500	1942-03-30							12.96	A	29200	A	12.43	A		
USGS	02323500	1942-03-31							12.96	A	29200	A	12.43	A		
USGS	02323500	1942-04-01							12.93	A	28900	A	12.40	A		
USGS	02323500	1942-04-02							12.89	A	28900	A	12.36	A		
USGS	02323500	1942-04-03							12.83	A	28600	A	12.30	A		
USGS	02323500	1942-04-04							12.75	A	28600	A	12.22	A		
USGS	02323500	1942-04-05							12.62	A	27900	A	12.09	A		
USGS	02323500	1942-04-06							12.49	A	27600	A	11.96	A		
USGS	02323500	1942-04-07							12.28	A	27000	A	11.75	A		
USGS	02323500	1942-04-08							12.09	A	26400	A	11.56	A		
USGS	02323500	1942-04-09							11.88	A	25800	A	11.35	A		
USGS	02323500	1942-04-10							11.68	A	25200	A	11.15	A		
USGS	02323500	1942-04-11							11.42	A	24300	A	10.89	A		
USGS	02323500	1942-04-12							11.14	A	23400	A	10.61	A		
USGS	02323500	1942-04-13							10.84	A	22500	A	10.31	A		
USGS	02323500	1942-04-14							10.55	A	22000	A	10.02	A		
USGS	02323500	1942-04-15							10.27	A	21200	A	9.74	A		
USGS	02323500	1942-04-16							10.00	A	20400	A	9.47	A		
USGS	02323500	1942-04-17							9.77	A	19800	A	9.24	A		
USGS	02323500	1942-04-18							9.53	A	19100	A	9.00	A		
USGS	02323500	1942-04-19							9.32	A	18600	A	8.79	A		
USGS	02323500	1942-04-20							9.13	A	18100	A	8.60	A		
USGS	02323500	1942-04-21							8.94	A	17700	A	8.41	A		
USGS	02323500	1942-04-22							8.75	A	17400	A	8.22	A		
USGS	02323500	1942-04-23							8.55	A	17000	A	8.02	A		
USGS	02323500	1942-04-24							8.35	A	16600	A	7.82	A		
USGS	02323500	1942-04-25							8.16	A	16100	A	7.63	A		
USGS	02323500	1942-04-26							7.99	A	15700	A	7.46	A		
USGS	02323500	1942-04-27							7.85	A	15300	A	7.32	A		
