Year,Month,Region,Pounds,Trips
1978,1,APALACHICOLA BAY AREA,772160,0
1978,1,REST OF FL EAST,6180,0
1978,1,REST OF FL WEST,18917,0
1978,1,ST. AUGUSTINE AREA,10102,0
1978,1,SUWANNEE AREA,17746,0
1978,2,APALACHICOLA BAY AREA,787500,0
1978,2,REST OF FL EAST,6572,0
1978,2,REST OF FL WEST,16230,0
1978,2,ST. AUGUSTINE AREA,7609,0
1978,2,SUWANNEE AREA,11961,0
1978,3,APALACHICOLA BAY AREA,718589,0
1978,3,REST OF FL EAST,7701,0
1978,3,REST OF FL WEST,14749,0
1978,3,ST. AUGUSTINE AREA,6459,0
1978,3,SUWANNEE AREA,4428,0
1978,4,APALACHICOLA BAY AREA,463687,0
1978,4,REST OF FL EAST,5985,0
1978,4,REST OF FL WEST,4971,0
1978,4,ST. AUGUSTINE AREA,3830,0
1978,4,SUWANNEE AREA,1634,0
1978,5,APALACHICOLA BAY AREA,440445,0
1978,5,REST OF FL EAST,1090,0
1978,5,REST OF FL WEST,9239,0
1978,5,SUWANNEE AREA,263,0
1978,6,APALACHICOLA BAY AREA,135868,0
1978,6,REST OF FL EAST,1615,0
1978,7,APALACHICOLA BAY AREA,130390,0
1978,7,REST OF FL EAST,428,0
1978,8,APALACHICOLA BAY AREA,168933,0
1978,8,REST OF FL EAST,586,0
1978,8,REST OF FL WEST,2735,0
1978,9,APALACHICOLA BAY AREA,453495,0
1978,9,REST OF FL EAST,1101,0
1978,9,REST OF FL WEST,20023,0
1978,9,ST. AUGUSTINE AREA,5502,0
1978,9,SUWANNEE AREA,3390,0
1978,10,APALACHICOLA BAY AREA,500261,0
1978,10,REST OF FL EAST,2303,0
1978,10,REST OF FL WEST,21773,0
1978,10,ST. AUGUSTINE AREA,6091,0
1978,10,SUWANNEE AREA,3949,0
1978,11,APALACHICOLA BAY AREA,524732,0
1978,11,REST OF FL EAST,6360,0
1978,11,REST OF FL WEST,22016,0
1978,11,ST. AUGUSTINE AREA,4668,0
1978,11,SUWANNEE AREA,3256,0
1978,12,APALACHICOLA BAY AREA,557579,0
1978,12,REST OF FL EAST,3367,0
1978,12,REST OF FL WEST,39613,0
1978,12,ST. AUGUSTINE AREA,6102,0
1978,12,SUWANNEE AREA,9680,0
1979,1,APALACHICOLA BAY AREA,745099,0
1979,1,REST OF FL EAST,2864,0
1979,1,REST OF FL WEST,18051,0
1979,1,ST. AUGUSTINE AREA,8339,0
1979,1,SUWANNEE AREA,7713,0
1979,2,APALACHICOLA BAY AREA,719288,0
1979,2,REST OF FL EAST,4361,0
1979,2,REST OF FL WEST,23817,0
1979,2,ST. AUGUSTINE AREA,7862,0
1979,2,SUWANNEE AREA,8973,0
1979,3,APALACHICOLA BAY AREA,714271,0
1979,3,REST OF FL EAST,4812,0
1979,3,REST OF FL WEST,41068,0
1979,3,ST. AUGUSTINE AREA,7560,0
1979,3,SUWANNEE AREA,7197,0
1979,4,APALACHICOLA BAY AREA,406139,0
1979,4,REST OF FL EAST,5003,0
1979,4,REST OF FL WEST,17247,0
1979,4,ST. AUGUSTINE AREA,5108,0
1979,4,SUWANNEE AREA,4695,0
1979,5,APALACHICOLA BAY AREA,349959,0
1979,5,REST OF FL EAST,1827,0
1979,5,REST OF FL WEST,5675,0
1979,5,SUWANNEE AREA,1436,0
1979,6,APALACHICOLA BAY AREA,201093,0
1979,6,REST OF FL EAST,1094,0
1979,7,APALACHICOLA BAY AREA,200819,0
1979,7,REST OF FL EAST,875,0
1979,7,REST OF FL WEST,350,0
1979,8,APALACHICOLA BAY AREA,294157,0
1979,8,REST OF FL WEST,700,0
1979,9,APALACHICOLA BAY AREA,369999,0
1979,9,REST OF FL EAST,1770,0
1979,9,REST OF FL WEST,5344,0
1979,9,ST. AUGUSTINE AREA,1524,0
1979,9,SUWANNEE AREA,886,0
1979,10,APALACHICOLA BAY AREA,637472,0
1979,10,REST OF FL EAST,2974,0
1979,10,REST OF FL WEST,8862,0
1979,10,ST. AUGUSTINE AREA,3620,0
1979,10,SUWANNEE AREA,4043,0
1979,11,APALACHICOLA BAY AREA,634456,0
1979,11,REST OF FL EAST,6237,0
1979,11,REST OF FL WEST,11232,0
1979,11,ST. AUGUSTINE AREA,4537,0
1979,11,SUWANNEE AREA,10768,0
1979,12,APALACHICOLA BAY AREA,654195,0
1979,12,REST OF FL EAST,4469,0
1979,12,REST OF FL WEST,13260,0
1979,12,ST. AUGUSTINE AREA,6513,0
1979,12,SUWANNEE AREA,6646,0
1980,1,APALACHICOLA BAY AREA,758080,0
1980,1,REST OF FL EAST,4641,0
1980,1,REST OF FL WEST,14495,0
1980,1,ST. AUGUSTINE AREA,8794,0
1980,1,SUWANNEE AREA,13192,0
1980,2,APALACHICOLA BAY AREA,719280,0
1980,2,REST OF FL EAST,4288,0
1980,2,REST OF FL WEST,23604,0
1980,2,ST. AUGUSTINE AREA,8445,0
1980,2,SUWANNEE AREA,4133,0
1980,3,APALACHICOLA BAY AREA,587926,0
1980,3,REST OF FL EAST,4978,0
1980,3,REST OF FL WEST,27797,0
1980,3,ST. AUGUSTINE AREA,8318,0
1980,3,SUWANNEE AREA,11486,0
1980,4,APALACHICOLA BAY AREA,569017,0
1980,4,REST OF FL EAST,4352,0
1980,4,REST OF FL WEST,20715,0
1980,4,ST. AUGUSTINE AREA,6156,0
1980,4,SUWANNEE AREA,8445,0
1980,5,APALACHICOLA BAY AREA,408687,0
1980,5,REST OF FL EAST,2066,0
1980,5,REST OF FL WEST,9319,0
1980,5,ST. AUGUSTINE AREA,3514,0
1980,5,SUWANNEE AREA,3203,0
1980,6,APALACHICOLA BAY AREA,313402,0
1980,6,REST OF FL EAST,1050,0
1980,6,REST OF FL WEST,1751,0
1980,6,ST. AUGUSTINE AREA,1325,0
1980,7,APALACHICOLA BAY AREA,332656,0
1980,7,REST OF FL EAST,1501,0
1980,7,REST OF FL WEST,538,0
1980,7,ST. AUGUSTINE AREA,480,0
1980,8,APALACHICOLA BAY AREA,271024,0
1980,8,REST OF FL EAST,1632,0
1980,8,REST OF FL WEST,48,0
1980,9,APALACHICOLA BAY AREA,546317,0
1980,9,REST OF FL EAST,1352,0
1980,9,REST OF FL WEST,9355,0
1980,9,ST. AUGUSTINE AREA,2005,0
1980,9,SUWANNEE AREA,772,0
1980,10,APALACHICOLA BAY AREA,551288,0
1980,10,REST OF FL EAST,1417,0
1980,10,REST OF FL WEST,17720,0
1980,10,ST. AUGUSTINE AREA,5940,0
1980,10,SUWANNEE AREA,4878,0
1980,11,APALACHICOLA BAY AREA,575373,0
1980,11,REST OF FL EAST,1509,0
1980,11,REST OF FL WEST,22218,0
1980,11,ST. AUGUSTINE AREA,8243,0
1980,11,SUWANNEE AREA,22356,0
1980,12,APALACHICOLA BAY AREA,867375,0
1980,12,REST OF FL EAST,3414,0
1980,12,REST OF FL WEST,25594,0
1980,12,ST. AUGUSTINE AREA,11959,0
1980,12,SUWANNEE AREA,13887,0
1981,1,APALACHICOLA BAY AREA,842727,0
1981,1,REST OF FL EAST,3000,0
1981,1,REST OF FL WEST,41312,0
